license_id,source_system,callsign,facility_id,frn,lic_name,common_name,radio_service_code,radio_service_desc,rollup_category_code,rollup_category_desc,grant_date,expired_date,cancellation_date,last_action_date,lic_status_code,lic_status_desc,rollup_status_code,rollup_status_desc,entity_type_code,entity_type_desc,rollup_entity_code,rollup_entity_desc,lic_address,lic_city,lic_state,lic_zip_code,lic_attention_line,contact_company,contact_name,contact_title,contact_address1,contact_address2,contact_city,contact_state,contact_zip,contact_country,contact_phone,contact_fax,contact_email,market_code,market_desc,channel_block,loc_type_code,loc_type_desc,loc_city,loc_county_code,loc_county_name,loc_state,loc_radius_op,loc_seq_id,loc_lat_deg,loc_lat_min,loc_lat_sec,loc_lat_dir,loc_long_deg,loc_long_min,loc_long_sec,loc_long_dir,hgt_structure,asr_num,antenna_id,ant_seq_id,ant_make,ant_model,ant_type_code,ant_type_desc,azimuth,beamwidth,polarization_code,frequency_id,freq_seq_id,freq_class_station_code,freq_class_station_desc,power_erp,power_output,frequency_assigned,frequency_upper_band,unit_of_measure,tolerance,emission_id,emission_seq_id,emission_code,ground_elevation,lat,long,geom
2458672,ULS,WPWF620,,0008275067,"DRS Signal Solutions, Inc.",,IG,"Industrial/Business Pool, Conventional",Land Mobile Radio,Land Mobile Radio,2002-11-05,2012-11-05,2009-08-25,2009-08-26,C,Canceled,C,Cancelled,C,Corporation,B,Business,7600 Wisconsin Ave.,Bethesda,MD,20814,"Joseph Port, Jr. Senior Gp. Counsel",Arent Fox LLP,Jeffrey  Rummel,,"1050 Connecticut Ave., NW",,Washington,DC,20036,,2027158479,2028576395,rummelj@arentfox.com,,,,M,Mobile,GAITHERSBURG,24031,MONTGOMERY,MD,32,2,39,8,24.4,N,77,13,22.9,W,,,15281888,1,,,,,,,,21761352,2,MO,,4,4,469.525,,MHz.,,19640157,1,20K0F3E,0,39.140111111,-77.223027778,0101000020E610000003274D16464E53C08FC62F29EF914340
3370939,ULS,WQPE383,,0010567428,"DRS Global Enterprise Solutions, Inc",,MG,Microwave Industrial/Business Pool,Fixed Wireless,Fixed Wireless,2012-04-20,2022-04-20,,2018-07-13,A,Active,A,Active,C,Corporation,B,Business,"307 1st Street West, Suite 6",Polson,MT,59860,CHRISTOPHER J MCNEAL,"DRS Global Enterprise Solutions, Inc",Christopher J McNeal,,"307 1st Street West, Suite 6",,Polson,MT,59860,,8003300784,4068835812,opsctr@drs.com,,,,F,Fixed,Pine Valley,06073,SAN DIEGO,CA,,1,32,50,20.4,N,116,24,2.4,W,9.1,,16881994,2,TRANGO SYSTEMS,AD11G-3-T2,T,Transmit Antenna,165,2.1,H,28592001,2,FXO,,,,10915,,MHz.,0.0007,29739155,1,56M0D7W,1936.5,32.839,-116.400666667,0101000020E610000030D7CD85A4195DC008AC1C5A646B4040
3374237,ULS,WQPF493,,0010567428,"DRS Global Enterprise Solutions, Inc.",,MG,Microwave Industrial/Business Pool,Fixed Wireless,Fixed Wireless,2012-05-02,2022-05-02,,2018-06-23,A,Active,A,Active,C,Corporation,B,Business,"307 1st Street West, Suite 6",Polson,MT,59860,CHRISTOPHER J MCNEAL,"DRS Global Enterprise Solutions, Inc.",CHRISTOPHER J McNeal,,"307 1st Street West, Suite 6",,Polson,MT,59860,,8003309784,4068835812,opsctr@drs.com,,,,F,Fixed,Santa Ysable,06065,RIVERSIDE,CA,,1,33,31,23.9,N,116,25,31.4,W,15.2,,16871740,2,RADIO WAVES INC.,HP6-59,T,Transmit Antenna,220.2,1.9,H,28560381,1,FXO,,,,5960.025,,MHz.,0.0007,29683341,1,56M0D7W,2649.5,33.523305556,-116.425388889,0101000020E61000008E955192391B5DC0E46A2CADFBC24040
3630613,ULS,WQUQ587,,0010567428,"DRS Global Enterprise Solutions, Inc.",,MG,Microwave Industrial/Business Pool,Fixed Wireless,Fixed Wireless,2014-09-11,2024-09-11,,2016-01-15,A,Active,A,Active,C,Corporation,B,Business,307 1st Street West,Polson,MT,59860,,,,,,,,,,,,,,,,,F,Fixed,Koyukuk,02290,YUKON-KOYUKUK,AK,,1,64,53,9.5,N,157,41,53.3,W,18.3,,16597518,1,"Trango Systems, Inc.",AD6G-6-T2,T,Transmit Antenna,131.2,1.7,V,27662454,2,FXO,,,,6063.8,,MHz.,0.0007,28490495,1,30M0D7W,37,64.885972222,-157.698138889,0101000020E6100000440A5E2757B663C0E3A9D5C4B3385040
3887427,ULS,WQYV674,,0010567428,"DRS Global Enterprise Solutions, Inc.",,MG,Microwave Industrial/Business Pool,Fixed Wireless,Fixed Wireless,2017-02-06,2027-02-06,,2018-12-20,A,Active,A,Active,C,Corporation,B,Business,"307 1st Street West, Suite 6",Polson,MT,59860,CHRISTOPHER J MCNEAL,"DRS Global Enterprise Solutions, Inc.",CHRISTOPHER J MCNEAL,,"307 1st Street West, Suite 6",,Polson,MT,59860,,8003309784,,opsctr@drs.com,,,,F,Fixed,Lakeside,06073,SAN DIEGO,CA,,1,32,57,18.1,N,116,52,27.9,W,6.1,,16881575,1,TRANGO SYSTEMS,AD23G-1-T2,T,Transmit Antenna,132.8,3,V,28589255,4,FXO,,,,21835,,MHz.,0.0007,29733336,1,30M0D7W,533,32.955027778,-116.874416667,0101000020E6100000E9F55271F6375DC00AA4A8593E7A4040
3886761,ULS,WQYV510,,0010567428,"DRS Global Enterprise Solutions, Inc.",,MG,Microwave Industrial/Business Pool,Fixed Wireless,Fixed Wireless,2017-02-02,2027-02-02,,2017-05-26,A,Active,A,Active,C,Corporation,B,Business,"307 1st Street West, Suite 6",Polson,MT,59860,CHRISTOPHER J MCNEAL,"DRS Global Enterprise Solutions, Inc.",CHRISTOPHER J MCNEAL,,"307 1st Street West, Suite 6",,Polson,MT,59860,,8003309784,,opsctr@drs.com,,,,F,Fixed,Valley Center,06073,SAN DIEGO,CA,,1,33,12,43.9,N,116,58,30.1,W,9.1,,16881107,1,TRANGO SYSTEMS,AD23G-1-T2,T,Transmit Antenna,41.3,3,V,28587355,6,FXO,,,,21835,,MHz.,0.0007,29730917,1,30M0D7W,562,33.212194444,-116.975027778,0101000020E6100000E6CCE8DA663E5DC0BBAF0230299B4040
3886761,ULS,WQYV510,,0010567428,"DRS Global Enterprise Solutions, Inc.",,MG,Microwave Industrial/Business Pool,Fixed Wireless,Fixed Wireless,2017-02-02,2027-02-02,,2017-05-26,A,Active,A,Active,C,Corporation,B,Business,"307 1st Street West, Suite 6",Polson,MT,59860,CHRISTOPHER J MCNEAL,"DRS Global Enterprise Solutions, Inc.",CHRISTOPHER J MCNEAL,,"307 1st Street West, Suite 6",,Polson,MT,59860,,8003309784,,opsctr@drs.com,,,,F,Fixed,Valley Center,06073,SAN DIEGO,CA,,1,33,12,43.9,N,116,58,30.1,W,9.1,,16881109,3,TRANGO SYSTEMS,AD11G-2-T2,T,Transmit Antenna,357.1,3.3,V,28587376,8,FXO,,,,10955,,MHz.,0.0007,29730938,1,30M0D7W,562,33.212194444,-116.975027778,0101000020E6100000E6CCE8DA663E5DC0BBAF0230299B4040
3887428,ULS,WQYV675,,0010567428,"DRS Global Enterprise Solutions, Inc.",,MG,Microwave Industrial/Business Pool,Fixed Wireless,Fixed Wireless,2017-02-06,2027-02-06,,2018-12-20,A,Active,A,Active,C,Corporation,B,Business,"307 1st Street West, Suite 6",Polson,MT,59860,CHRISTOPHER J MCNEAL,"DRS Global Enterprise Solutions, Inc.",CHRISTOPHER J MCNEAL,,"307 1st Street West, Suite 6",,Polson,MT,59860,,8003309784,,opsctr@drs.com,,,,F,Fixed,Lakeside,06073,SAN DIEGO,CA,,1,32,56,39.2,N,116,51,38,W,4.6,,16881579,1,TRANGO SYSTEMS,AD23G-1-T2,T,Transmit Antenna,312.8,3,V,28589273,4,FXO,,,,23035,,MHz.,0.0007,29733354,1,30M0D7W,410,32.944222222,-116.860555556,0101000020E61000004F5A9C5713375DC0BFD21546DC784040
3887443,ULS,WQYV689,,0010567428,"DRS Global Enterprise Solutions, Inc",,MG,Microwave Industrial/Business Pool,Fixed Wireless,Fixed Wireless,2017-02-06,2027-02-06,,2018-07-13,A,Active,A,Active,C,Corporation,B,Business,"307 1st Street West, Suite 6",Polson,MT,59860,CHRISTOPHER J MCNEAL,"DRS Global Enterprise Solutions, Inc",CHRISTOPHER J MCNEAL,,"307 1st Street West, Suite 6",,Polson,MT,59860,,8003300784,4068835812,opsctr@drs.com,,,,F,Fixed,Campo,06073,SAN DIEGO,CA,,1,32,39,1.1,N,116,21,58.2,W,4.6,,16881618,1,TRANGO SYSTEMS,AD23G-1-T2,T,Transmit Antenna,163,3,V,28589489,3,FXO,,,,23035,,MHz.,0.0007,29733643,1,30M0D7W,1001,32.650305556,-116.366166667,0101000020E61000009FE950466F175DC0ABB663363D534040
3887438,ULS,WQYV684,,0010567428,"DRS Global Enterprise Solutions, Inc.",,MG,Microwave Industrial/Business Pool,Fixed Wireless,Fixed Wireless,2017-02-06,2027-02-06,,2017-05-26,A,Active,A,Active,C,Corporation,B,Business,"307 1st Street West, Suite 6",Polson,MT,59860,CHRISTOPHER J MCNEAL,"DRS Global Enterprise Solutions, Inc.",CHRISTOPHER J MCNEAL,,"307 1st Street West, Suite 6",,Polson,MT,59860,,8003309784,,opsctr@drs.com,,,,F,Fixed,Pauma Valley,06073,SAN DIEGO,CA,,1,33,19,58.6,N,116,59,8.6,W,4.6,,16881602,1,TRANGO SYSTEMS,AD23G-1-T2,T,Transmit Antenna,6.5,3,V,28589423,9,FXO,,,,23035,,MHz.,0.0007,29733577,1,30M0D7W,321,33.332944444,-116.985722222,0101000020E61000008D9BA812163F5DC0B52E6DEC9DAA4040
