license_id,source_system,callsign,facility_id,frn,lic_name,common_name,radio_service_code,radio_service_desc,rollup_category_code,rollup_category_desc,grant_date,expired_date,cancellation_date,last_action_date,lic_status_code,lic_status_desc,rollup_status_code,rollup_status_desc,entity_type_code,entity_type_desc,rollup_entity_code,rollup_entity_desc,lic_address,lic_city,lic_state,lic_zip_code,lic_attention_line,contact_company,contact_name,contact_title,contact_address1,contact_address2,contact_city,contact_state,contact_zip,contact_country,contact_phone,contact_fax,contact_email,market_code,market_desc,channel_block,loc_type_code,loc_type_desc,loc_city,loc_county_code,loc_county_name,loc_state,loc_radius_op,loc_seq_id,loc_lat_deg,loc_lat_min,loc_lat_sec,loc_lat_dir,loc_long_deg,loc_long_min,loc_long_sec,loc_long_dir,hgt_structure,asr_num,antenna_id,ant_seq_id,ant_make,ant_model,ant_type_code,ant_type_desc,azimuth,beamwidth,polarization_code,frequency_id,freq_seq_id,freq_class_station_code,freq_class_station_desc,power_erp,power_output,frequency_assigned,frequency_upper_band,unit_of_measure,tolerance,emission_id,emission_seq_id,emission_code,ground_elevation,lat,long,geom
2764989,ULS,WDC7852,,0000089144,ELTAZAR FISHING INC,,SB,Ship Compulsory Equipped,Safety of Life,Safety of Life,2005-11-22,2015-11-22,2016-01-23,2016-01-23,E,Expired,E,Expired,C,Corporation,B,Business,421 HUTTLESTON AVENUE,FAIRHAVEN,MA,02719,KEVIN T ARUDA PRESIDENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518299,ULS,KD6MRA,,0007080732,"ELTAGONDE, YAN",,HA,Amateur,Personal Use,Personal Use,2012-07-13,2022-08-11,,2012-07-13,A,Active,A,Active,I,Individual,I,Individual,1476 SHAFFER DR,SAN JOSE,CA,95132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000088582,ELS,WG2XAW,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2018-12-18,2018-12-18,,2018-12-18,E,Unknown,E,Expired,C,Corporation,B,Business,"Emily Casto, 8955 Henkels Ln",Annapolis Junction,MD,20701,,,Emily Casto,Mechanical Engineer,,,,,,XX,,,,,,,,,Starkville,OKTIBBEHA,OKTIBBEHA,MS,5,177523,33,28,45,N,88,47,0,W,,,3000177523,177523,,,N,Non-Directional,,,,3000712849,712849,MO,,384.7,,10250,10500,MHz.,0.005,3001182886,1182886,50M0F3N,,33.479166667,,
925235,ULS,WH6CGB,,,"ELTAGONDE, REGAN",,HA,Amateur,Personal Use,Personal Use,1989-11-14,1999-11-14,2002-03-07,2002-03-07,E,Expired,E,Expired,I,Individual,I,Individual,95-2048 WAIKALANI PL APT 205D,MILILANI,HI,96789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000090781,ELS,WG2XAW,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2019-03-01,2024-03-01,,2019-04-01,G,Unknown,A,Active,C,Corporation,B,Business,"Avraham Abasov, 8955 Henkels Ln",Annapolis Junction,MD,20701,,,Emily Casto,Mechanical Engineer,Avraham Abasov,8955 Henkels Ln,Annapolis Junction,MD,20701,XX,,,,,,,,,Starkville,OKTIBBEHA,OKTIBBEHA,MS,5,183602,33,28,45,N,88,47,0,W,,,3000183602,183602,,,N,Non-Directional,,,,3000734810,734810,MO,,384.7,,10250,10500,MHz.,0.005,3001220085,1220085,50M0F3N,,33.479166667,,
3000078392,ELS,WG2XAW,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2017-07-05,2017-07-05,,2017-07-05,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 8955 Henkels Ln",Annapolis Junction,MD,20701,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Tucson,PIMA,PIMA,AZ,,149986,32,10,0,N,110,54,52,W,,,3000149986,149986,,,N,Non-Directional,,,,3000615259,615259,FX,,384.7,,10250,10500,MHz.,0.005,3001009550,1009550,50M0F3N,,,-110.914444444,
3000062434,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2014-08-29,2014-08-29,,2014-08-29,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,105410,32,22,0,N,84,48,20,W,,,3000105410,105410,,,Y,Directional,,,,3000450676,450676,MO,,5.012,,746,756,MHz.,1e-05,3000727640,727640,10M0W7W,,,-84.805555556,
3000072700,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-09-01,2016-06-07,,2016-06-07,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",Richard Aronson,11840 West Market Place,Fulton,MD,20759,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134666,32,22,0,N,84,48,20,W,,,3000134666,134666,,,Y,Directional,,,,3000555032,555032,MO,,39.811,,734,746,MHz.,1e-05,3000904011,904011,10M0W7W,,,-84.805555556,
3000072600,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-06-16,2016-06-16,,2016-06-16,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134388,32,22,0,N,84,48,20,W,,,3000134388,134388,,,Y,Directional,,,,3000554452,554452,MO,,1,,704,716,MHz.,1e-05,3000902741,902741,10M0W7W,,,-84.805555556,
3000072700,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-09-01,2016-06-07,,2016-06-07,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",Richard Aronson,11840 West Market Place,Fulton,MD,20759,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134666,32,22,0,N,84,48,20,W,,,3000134666,134666,,,Y,Directional,,,,3000555035,555035,MO,,39.811,,746,756,MHz.,1e-05,3000904014,904014,10M0W7W,,,-84.805555556,
